,Title,Author,Published,Link
0,Deep learning identification of coronary artery disease from bilateral finger photoplethysmography sensing: A proof-of-concept study,"Allen, J.",1 Sept 2023,https://pureportal.coventry.ac.uk/en/publications/deep-learning-identification-of-coronary-artery-disease-from-bila
1,Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study,"Bul, K.",16 Apr 2023,https://pureportal.coventry.ac.uk/en/publications/usability-and-preliminary-efficacy-of-an-ai-driven-platform-suppo-2
2,Assessing hemodynamics from the photoplethysmogram to gain insights into vascular age: a review from VascAgeNet,"Allen, J.",1 Apr 2022,https://pureportal.coventry.ac.uk/en/publications/assessing-hemodynamics-from-the-photoplethysmogram-to-gain-insigh
3,"Book Pitch article on Photoplethysmography: technology, signal analysis and applications","Allen, J.",25 May 2022,https://pureportal.coventry.ac.uk/en/publications/book-pitch-article-on-photoplethysmography-technology-signal-anal
4,Ethnic Disparities in Publicly-available Pulse Oximetry Databases,"Allen, J.",27 May 2022,https://pureportal.coventry.ac.uk/en/publications/ethnic-disparities-in-publicly-available-pulse-oximetry-databases
5,Novel pulse device for diagnosis of peripheral arterial disease (NOTEPAD): ISRCTN13301188,"Allen, J.",24 Oct 2022,https://pureportal.coventry.ac.uk/en/publications/novel-pulse-device-for-diagnosis-of-peripheral-arterial-disease-n
6,Prospective assessment of the diagnostic accuracy of multi-site photoplethysmography pulse measurements for diagnosis of peripheral artery disease in primary care,"Allen, J.",18 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/prospective-assessment-of-the-diagnostic-accuracy-of-multi-site-p
7,Usability and preliminary efficacy of an AI-driven platform supporting dietary management in diabetes: A mixed-method study,"Bul, K.",21 Nov 2022,https://pureportal.coventry.ac.uk/en/publications/usability-and-preliminary-efficacy-of-an-ai-driven-platform-suppo
8,Validation of a Standardised Duplex Ultrasound Classification System for the Reporting and Grading of Peripheral Arterial Disease,"Allen, J.",1 Aug 2022,https://pureportal.coventry.ac.uk/en/publications/validation-of-a-standardised-duplex-ultrasound-classification-sys
9,Deep learning based photoplethysmography classification for peripheral arterial disease detection: a proof-of-concept study,"Allen, J.",17 Jun 2021,https://pureportal.coventry.ac.uk/en/publications/deep-learning-based-photoplethysmography-classification-for-perip
10,Explorations in skin temperature and objective skin colour measurements in Raynaud's phenomenon: A pilot study,"Allen, J.",1 Aug 2021,https://pureportal.coventry.ac.uk/en/publications/explorations-in-skin-temperature-and-objective-skin-colour-measur
11,Filtering-induced time shifts in photoplethysmography pulse features measured at different body sites: the importance of filter definition and standardization,"Liu, H.",28 Jul 2021,https://pureportal.coventry.ac.uk/en/publications/filtering-induced-time-shifts-in-photoplethysmography-pulse-featu
